what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1722296942908
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1722296942909
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1722296942910
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1722296942910
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1722296942911
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1722296942911
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1722296942912
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1722296942913
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1722296942914
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1722296942915
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1722296942916
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1722296942917
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1722296942919
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1722296942919
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1722296942921
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1722296942922
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1722296942923
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1722296942924
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1722296942926
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1722296942926
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1722296942928
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1722296942929
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1722296942929
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1722296942930
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1722296942932
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1722296942933
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1722296942935
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1722296942937
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1722296942939
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1722296942941
os,sysinfo,,,"win32",1722296942946
arch,sysinfo,,,"x86",1722296942946
ws,sysinfo,,,"win32",1722296942946
locale,sysinfo,,,"pt_BR",1722296942946
processors,sysinfo,,,"2",1722296942946
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1722296942946
java.runtime.version,sysinfo,,,"1.8.0_411-b09",1722296942946
java.specification.name,sysinfo,,,"Java Platform API Specification",1722296942946
java.specification.vendor,sysinfo,,,"Oracle Corporation",1722296942946
java.specification.version,sysinfo,,,"1.8",1722296942946
java.vendor,sysinfo,,,"Oracle Corporation",1722296942946
java.version,sysinfo,,,"1.8.0_411",1722296942946
java.vm.info,sysinfo,,,"mixed mode, sharing",1722296942946
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1722296942946
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1722296942946
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1722296942946
java.vm.specification.version,sysinfo,,,"1.8",1722296942946
java.vm.vendor,sysinfo,,,"Oracle Corporation",1722296942946
java.vm.version,sysinfo,,,"25.411-b09",1722296942946
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1722296978746
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1722296978791
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1722296978874
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1722296982810
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1722296982841
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722296984157
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722297007992
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722297013897
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722297015526
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1722297017170
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1722297017174
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1722297017428
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722297021093
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1722297030952
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722297032257
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1722297033690
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1722297033774
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1722297033990
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1722297034510
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1722297058616
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1722297088269
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1722297137312
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1722297171413
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1722297195021
